userId,venueCategory,1
381,Convention Center,23
381,College Academic Building,47
621,Coffee Shop,4
510,Salon / Barbershop,6
1044,Coffee Shop,1
889,Other Great Outdoors,50
519,Home (private),68
669,Cosmetics Shop,4
217,Home (private),8
889,University,34
572,Gym / Fitness Center,32
889,College Academic Building,94
1072,Burger Joint,1
458,Convenience Store,1
766,Bus Station,81
440,Train Station,122
162,Event Space,1
498,Fast Food Restaurant,9
299,Office,28
652,Pizza Place,11
299,Mexican Restaurant,1
246,Drugstore / Pharmacy,28
246,Bar,38
315,Salon / Barbershop,209
194,Community College,8
637,Convention Center,5
315,Bus Station,40
12,Food & Drink Shop,53
129,Bar,60
834,Bar,29
787,College Academic Building,27
300,Music Store,8
633,College Academic Building,37
315,Drugstore / Pharmacy,12
883,Stadium,2
1002,Home (private),15
672,Home (private),25
973,Bar,11
458,Other Great Outdoors,57
316,Deli / Bodega,2
1026,Subway,24
597,Fried Chicken Joint,3
307,Medical Center,3
422,Home (private),84
365,Burger Joint,3
805,Clothing Store,5
4,Church,60
905,Bus Station,7
526,Sushi Restaurant,9
940,Italian Restaurant,14
359,Drugstore / Pharmacy,1
191,Mall,1
621,Road,30
130,Plaza,38
186,Pizza Place,4
751,Gym / Fitness Center,45
943,Road,55
692,Dessert Shop,2
1009,Cemetery,1
806,Clothing Store,17
354,Park,58
418,Ice Cream Shop,3
1076,Gym / Fitness Center,49
842,Home (private),119
116,French Restaurant,2
436,Pizza Place,4
78,Park,2
125,Road,30
474,Deli / Bodega,9
337,Paper / Office Supplies Store,1
26,Park,1
474,Subway,93
185,American Restaurant,155
777,Coffee Shop,57
621,Home (private),92
90,Office,48
989,Museum,1
715,Bagel Shop,18
90,Gym / Fitness Center,79
987,Coffee Shop,5
139,Clothing Store,16
593,Bank,9
235,Gym / Fitness Center,19
987,Vegetarian / Vegan Restaurant,1
324,Bookstore,5
328,Other Great Outdoors,10
402,Train Station,87
57,Gym / Fitness Center,30
443,Bus Station,121
221,Office,20
198,Sporting Goods Shop,2
371,Other Great Outdoors,27
598,Department Store,1
371,Candy Store,34
772,Pizza Place,3
408,Train Station,49
535,Coffee Shop,11
1044,Miscellaneous Shop,23
340,Coffee Shop,20
818,Café,44
187,Train Station,130
593,Food & Drink Shop,16
398,Church,14
242,Toy / Game Store,3
242,Mall,4
994,Café,3
905,American Restaurant,3
1009,Office,17
509,Miscellaneous Shop,36
969,Gym / Fitness Center,53
861,Home (private),43
16,Government Building,17
389,Gym / Fitness Center,2
799,Gym / Fitness Center,33
955,Clothing Store,2
955,Arcade,2
361,Bar,26
296,Candy Store,1
378,Food & Drink Shop,32
85,Food & Drink Shop,51
337,Bookstore,5
826,Gym / Fitness Center,28
475,Gym / Fitness Center,16
101,BBQ Joint,1
895,Home (private),63
120,Bar,10
134,Pizza Place,8
149,Gym / Fitness Center,62
149,Deli / Bodega,14
54,Office,48
650,Concert Hall,2
432,College Academic Building,135
319,Food & Drink Shop,9
816,Community College,30
432,Pizza Place,4
816,General College & University,26
816,College Academic Building,39
1054,Home (private),114
386,Deli / Bodega,22
628,Home (private),65
626,Train Station,84
215,Train Station,18
371,Home (private),338
17,Building,1
1013,Neighborhood,45
848,Spanish Restaurant,2
653,Department Store,1
264,Athletic & Sport,13
943,Home (private),169
188,Light Rail,102
432,General College & University,27
434,Middle Eastern Restaurant,3
186,Theater,11
14,Park,220
788,Gym / Fitness Center,13
100,Theater,40
854,Medical School,1
985,Tea Room,8
1083,BBQ Joint,7
113,Asian Restaurant,3
943,Train Station,26
658,Playground,2
415,Theater,1
204,Coffee Shop,22
279,Bar,42
319,Home (private),40
649,Burger Joint,3
615,Bar,3
208,Train Station,4
556,Mall,1
619,Train Station,35
990,Hotel,418
722,Subway,49
1042,Movie Theater,10
480,Salon / Barbershop,8
371,Department Store,4
1016,Department Store,9
79,Comedy Club,3
362,Bookstore,11
495,School,1
418,Bar,22
1040,Office,53
530,Residential Building (Apartment / Condo),5
169,BBQ Joint,4
17,Bar,18
1059,Stadium,2
495,Park,17
311,Laundry Service,15
500,Bar,13
187,Drugstore / Pharmacy,12
187,Road,86
251,Gym / Fitness Center,64
337,Electronics Store,2
689,American Restaurant,88
995,Post Office,1
207,Home (private),56
891,Home (private),163
649,Theater,60
443,Bar,116
71,Sandwich Place,3
733,Subway,11
1055,Convenience Store,1
367,Italian Restaurant,6
242,Food & Drink Shop,5
824,Seafood Restaurant,1
1070,Scenic Lookout,28
903,Sporting Goods Shop,3
417,Sporting Goods Shop,3
188,Residential Building (Apartment / Condo),30
803,Hotel,1
619,Department Store,2
215,Park,8
770,Other Great Outdoors,1
619,Ice Cream Shop,1
800,Stadium,2
312,Stadium,6
474,Home (private),71
943,Government Building,3
1047,Housing Development,31
957,Parking,1
226,Theater,18
645,Bar,44
669,Mexican Restaurant,3
936,Synagogue,21
623,Bridge,2
721,Music Venue,10
291,American Restaurant,2
370,Italian Restaurant,4
529,Home (private),105
528,Home (private),34
733,Park,3
387,Bike Shop,1
470,Sushi Restaurant,13
218,Pizza Place,4
756,Student Center,2
271,Other Great Outdoors,55
528,Other Great Outdoors,11
335,Home (private),94
348,Bar,24
152,Mexican Restaurant,3
673,Residential Building (Apartment / Condo),2
480,Home (private),10
772,Theater,4
964,Fast Food Restaurant,1
444,American Restaurant,28
621,Mall,16
943,Music Venue,5
235,American Restaurant,6
572,Mexican Restaurant,8
445,Burger Joint,28
539,Bar,32
802,Sushi Restaurant,6
354,Bridge,27
1082,Train Station,95
621,Department Store,17
623,Donut Shop,23
733,American Restaurant,7
287,Train Station,48
682,General Entertainment,1
108,Stadium,3
861,Food & Drink Shop,6
3,American Restaurant,20
297,Sushi Restaurant,1
194,Gym / Fitness Center,1
354,Hotel,7
1013,Coffee Shop,4
894,Subway,9
74,Home (private),16
338,Office,46
335,Residential Building (Apartment / Condo),1
185,Pool,93
470,Japanese Restaurant,2
21,Gym / Fitness Center,76
917,Chinese Restaurant,19
882,Bar,14
809,College Academic Building,6
599,Gym / Fitness Center,26
121,Restaurant,9
158,Arts & Entertainment,1
293,Subway,304
882,Vegetarian / Vegan Restaurant,14
170,Gym / Fitness Center,7
1066,General Entertainment,1
520,Department Store,2
129,Burger Joint,2
971,Japanese Restaurant,1
69,Bar,3
255,Music Venue,10
511,Neighborhood,65
526,Ice Cream Shop,7
463,Bar,43
484,Home (private),88
254,Pizza Place,8
84,Other Great Outdoors,43
234,Gym / Fitness Center,16
337,Chinese Restaurant,1
979,Deli / Bodega,13
824,Pet Store,3
797,Gym / Fitness Center,7
84,German Restaurant,33
623,Indian Restaurant,3
290,Gym / Fitness Center,40
792,Deli / Bodega,6
612,Home (private),10
354,Chinese Restaurant,2
354,Deli / Bodega,11
339,Airport,1
53,Gym / Fitness Center,8
529,Gym / Fitness Center,48
371,Miscellaneous Shop,5
593,Bus Station,118
884,Burger Joint,2
1064,Café,2
746,Train Station,34
768,Garden,9
834,Building,8
768,Food & Drink Shop,30
946,Bus Station,33
768,Hot Dog Joint,3
148,Bar,26
427,Bar,34
582,Home (private),122
916,Residential Building (Apartment / Condo),35
1024,Sporting Goods Shop,7
292,Home (private),4
943,Bar,87
510,Train Station,2
614,Mexican Restaurant,16
768,Other Great Outdoors,124
1024,Park,6
347,Medical Center,4
372,Japanese Restaurant,4
145,Gym / Fitness Center,54
565,Steakhouse,3
519,Neighborhood,2
470,Bowling Alley,2
293,Other Great Outdoors,215
623,Ice Cream Shop,12
293,Bar,4
273,Bar,39
114,Burger Joint,3
293,Smoke Shop,130
623,Theater,2
259,Gym / Fitness Center,15
509,Music Venue,3
501,Electronics Store,1
894,Neighborhood,16
637,Restaurant,8
235,Sandwich Place,8
1071,Sushi Restaurant,3
874,School,10
874,Home (private),20
405,Gym / Fitness Center,6
527,Office,53
71,Drugstore / Pharmacy,5
417,American Restaurant,9
890,Laundry Service,4
440,Gym / Fitness Center,33
282,Subway,7
362,American Restaurant,16
492,Train Station,98
287,Mall,8
857,Home (private),45
455,Coffee Shop,1
301,Plaza,7
827,Residential Building (Apartment / Condo),7
806,Pizza Place,10
619,Park,3
254,Home (private),22
682,Bar,37
827,Other Great Outdoors,121
90,American Restaurant,7
400,Pool Hall,3
319,Bridge,56
783,Athletic & Sport,1
593,Road,114
877,Medical Center,23
677,Post Office,14
677,Home (private),44
877,Pizza Place,7
827,Harbor / Marina,35
184,Drugstore / Pharmacy,2
56,Gym / Fitness Center,26
339,Gastropub,7
281,Church,25
527,Subway,178
116,Gym / Fitness Center,13
319,Road,64
534,Thai Restaurant,1
987,Electronics Store,4
251,American Restaurant,9
669,Fried Chicken Joint,7
495,Bus Station,54
195,Home (private),9
861,Miscellaneous Shop,2
84,Electronics Store,2
804,Concert Hall,3
84,Subway,40
370,Bakery,4
167,Mexican Restaurant,2
505,Thai Restaurant,1
389,Bar,11
570,Train Station,3
818,Bar,16
510,Bar,20
964,Home (private),70
500,Gym / Fitness Center,8
887,Bar,58
673,Gas Station / Garage,17
291,Gastropub,1
203,Gym / Fitness Center,23
265,Food,1
824,Church,5
468,Bar,65
185,Other Nightlife,104
611,Gym / Fitness Center,22
702,Subway,121
925,Gym / Fitness Center,56
518,Home (private),7
912,Burger Joint,5
756,Ice Cream Shop,2
725,Italian Restaurant,4
751,Chinese Restaurant,1
527,Train Station,62
180,Gym / Fitness Center,116
372,Bowling Alley,2
530,Fried Chicken Joint,2
593,Bar,43
1066,BBQ Joint,2
301,Fast Food Restaurant,4
495,Road,37
15,Deli / Bodega,11
673,Home (private),121
386,Home (private),65
1079,Bar,19
768,Scenic Lookout,7
527,Miscellaneous Shop,20
922,Bar,29
1079,Mexican Restaurant,16
793,Home (private),5
296,Bar,31
364,Gym / Fitness Center,11
145,Food & Drink Shop,12
751,Bar,49
770,Drugstore / Pharmacy,14
663,Coffee Shop,1
805,American Restaurant,8
524,Indian Restaurant,5
770,Home (private),36
881,Latin American Restaurant,20
370,Theater,5
256,Ramen /  Noodle House,1
313,Gym / Fitness Center,23
1040,Gym / Fitness Center,35
424,Ramen /  Noodle House,1
238,Building,21
158,French Restaurant,3
152,Bar,39
161,Comedy Club,12
578,Bar,13
844,Home (private),22
784,Chinese Restaurant,2
1029,Home (private),69
752,College Theater,1
697,Bar,38
218,Sandwich Place,7
287,Light Rail,1
848,Music Venue,1
1079,Building,5
53,Home (private),68
905,Bar,23
527,Neighborhood,85
1040,Mediterranean Restaurant,2
652,Bar,110
392,Gym / Fitness Center,6
360,Beer Garden,4
768,Bar,9
527,Deli / Bodega,79
597,Train Station,22
906,BBQ Joint,2
365,Plaza,33
1014,Laundry Service,6
281,Café,16
102,African Restaurant,7
571,General Travel,9
534,Dessert Shop,2
318,Bar,24
17,Bridge,2
238,Home (private),49
139,Food & Drink Shop,8
565,Bar,19
882,Music Venue,2
565,Laundry Service,1
1060,Home (private),1
448,American Restaurant,20
105,Community College,17
105,College Academic Building,4
496,Bar,47
570,Performing Arts Venue,7
81,Subway,148
495,Residential Building (Apartment / Condo),53
704,Drugstore / Pharmacy,4
854,Home (private),53
470,BBQ Joint,9
742,Home (private),196
704,Train Station,25
272,Road,6
470,General Entertainment,1
1059,Bar,18
505,Building,33
981,General Entertainment,8
354,Laundry Service,9
354,Drugstore / Pharmacy,19
354,Office,169
995,Home (private),8
404,General Travel,15
649,Mexican Restaurant,2
620,Outdoors & Recreation,40
535,Chinese Restaurant,3
10,Vegetarian / Vegan Restaurant,2
10,Café,1
246,Food & Drink Shop,53
498,Deli / Bodega,6
343,Airport,67
246,River,1
698,Museum,27
216,Department Store,7
363,Sorority House,4
136,Coffee Shop,59
969,Other Great Outdoors,18
145,Home (private),14
73,Residential Building (Apartment / Condo),52
17,Comedy Club,10
632,College Academic Building,26
449,Other Great Outdoors,14
531,Home (private),197
185,Music Venue,89
868,Breakfast Spot,1
267,Home (private),8
317,American Restaurant,35
802,American Restaurant,1
191,Building,38
895,Playground,67
798,Bus Station,12
895,Park,59
882,Other Great Outdoors,17
882,Harbor / Marina,1
882,Beach,4
65,Burger Joint,11
733,Home (private),11
291,Stadium,10
404,Athletic & Sport,1
121,Bridge,6
448,Drugstore / Pharmacy,79
990,Building,8
281,Home (private),7
728,Bar,22
448,Bus Station,151
1070,Neighborhood,77
1070,College Academic Building,21
637,Bar,30
660,Casino,1
623,Bar,41
498,Road,19
185,Park,97
1033,Home (private),47
584,Airport,69
584,Parking,66
871,Neighborhood,8
287,Home (private),45
44,Medical Center,17
952,Home (private),21
320,Office,6
1013,Malaysian Restaurant,2
996,Home (private),25
837,Bank,1
837,Bar,63
458,Italian Restaurant,2
943,Food Truck,2
404,Home (private),146
121,Electronics Store,4
34,Diner,14
65,Home (private),151
105,Home (private),48
248,Airport,19
403,Bus Station,2
706,Movie Theater,28
706,Government Building,7
706,Department Store,22
706,Bakery,18
706,Fried Chicken Joint,25
947,Home (private),22
458,Residential Building (Apartment / Condo),17
185,Road,189
629,Bar,25
281,Gas Station / Garage,23
868,Bar,65
768,Fast Food Restaurant,29
1032,Residential Building (Apartment / Condo),55
649,Bar,31
706,Pizza Place,23
839,Bar,11
480,Other Great Outdoors,21
787,Home (private),85
706,School,25
706,Tattoo Parlor,5
403,Home (private),2
230,Bar,21
335,Spanish Restaurant,1
493,Home (private),66
768,Mexican Restaurant,9
108,Home (private),8
70,Subway,192
293,Neighborhood,90
413,BBQ Joint,3
17,Road,7
439,Home (private),210
34,Home (private),144
839,Bank,27
225,Home (private),20
225,Other Great Outdoors,8
225,Moving Target,1
293,Bus Station,76
248,Bar,26
894,Home (private),18
768,Coffee Shop,18
802,Home (private),24
120,Plaza,6
678,Home (private),40
120,Home (private),76
983,Food & Drink Shop,3
227,Office,17
516,Home (private),35
470,Food Truck,2
526,Home (private),8
882,Scenic Lookout,1
883,Subway,5
398,Bar,18
629,French Restaurant,8
413,Bar,68
498,Home (private),41
50,Bar,15
509,Bar,26
645,Drugstore / Pharmacy,11
50,Scenic Lookout,1
882,Road,1
445,Deli / Bodega,279
316,Home (private),33
445,Arcade,77
983,Diner,2
801,Deli / Bodega,7
597,Fast Food Restaurant,6
689,Hotel,257
948,Home (private),18
445,Movie Theater,65
458,Deli / Bodega,33
458,Gas Station / Garage,12
335,Subway,66
983,Vegetarian / Vegan Restaurant,3
184,Home (private),49
458,Coffee Shop,6
702,Home (private),77
458,Southern / Soul Food Restaurant,2
881,Bar,122
682,Residential Building (Apartment / Condo),80
181,Subway,237
121,Building,10
983,Bar,60
121,Coffee Shop,9
121,Home (private),87
121,Other Great Outdoors,97
582,Office,7
990,Airport,87
582,Beach,11
829,Home (private),17
582,Airport,3
593,Diner,1
784,Residential Building (Apartment / Condo),42
419,Road,21
419,Post Office,85
1074,Train Station,69
965,Sandwich Place,69
859,Subway,56
528,Building,15
528,Park,16
528,Office,36
80,Airport,31
84,Other Nightlife,4
84,Convention Center,117
84,Office,118
983,Office,11
260,Gym / Fitness Center,13
173,General Travel,49
667,Bus Station,58
970,Gym / Fitness Center,43
235,Neighborhood,32
244,Gym / Fitness Center,21
235,General Entertainment,38
173,Bagel Shop,19
1021,Train Station,7
983,Bakery,3
855,Donut Shop,28
396,Other Great Outdoors,71
396,Park,70
859,Donut Shop,1
175,Gym / Fitness Center,36
241,Music Venue,60
285,Subway,13
373,Coffee Shop,9
869,Airport,31
467,General Travel,1
83,Office,90
879,Ferry,38
1001,Gym / Fitness Center,62
521,Neighborhood,175
185,Bus Station,71
976,Drugstore / Pharmacy,24
95,Home (private),146
409,Gym / Fitness Center,31
778,Office,47
373,Medical Center,15
1074,Office,68
275,Gym / Fitness Center,50
855,Sporting Goods Shop,47
727,Gym / Fitness Center,40
173,High School,24
456,Bus Station,14
1018,Office,20
708,Bar,65
708,Home (private),36
119,Coffee Shop,64
281,College Academic Building,47
1066,Gym / Fitness Center,5
553,Coffee Shop,105
565,Coffee Shop,22
895,Deli / Bodega,29
1010,Home (private),31
12,Breakfast Spot,37
658,Subway,47
24,Park,55
356,Gym / Fitness Center,41
331,Train Station,94
113,High School,10
465,Road,1
292,Subway,31
359,Office,96
359,Subway,71
412,Subway,48
412,Athletic & Sport,38
379,Office,63
40,Bakery,14
953,Bar,11
1016,High School,49
132,Coffee Shop,22
1063,Deli / Bodega,6
288,American Restaurant,42
691,Road,32
96,Deli / Bodega,56
1063,Donut Shop,8
288,Office,80
7,School,30
297,Gym / Fitness Center,31
521,Bank,28
968,Office,54
705,University,15
705,College Academic Building,13
228,Breakfast Spot,7
702,Train Station,49
604,General Entertainment,3
762,Deli / Bodega,11
718,High School,28
238,French Restaurant,10
742,Residential Building (Apartment / Condo),56
521,Subway,203
456,Gym / Fitness Center,28
132,Office,105
1063,Building,3
918,University,28
739,Subway,32
739,Home (private),59
739,Snack Place,34
285,College Academic Building,19
492,Café,47
312,Coffee Shop,21
424,Café,3
240,Café,21
424,Taxi,2
504,Gym / Fitness Center,35
448,College Academic Building,12
267,Building,17
233,Airport,6
489,Other Great Outdoors,36
553,Bridge,11
645,Community College,14
645,College & University,13
1047,Donut Shop,33
440,Home (private),95
561,Gym / Fitness Center,35
710,High School,44
983,Record Shop,3
282,Office,74
465,Gym / Fitness Center,47
309,Building,51
153,Neighborhood,9
153,Italian Restaurant,45
49,Train Station,10
453,Bus Station,37
24,Office,30
428,Bagel Shop,1
161,Coffee Shop,12
1047,Subway,61
951,Home (private),99
139,Drugstore / Pharmacy,1
188,Subway,23
344,College Academic Building,147
250,Park,114
164,Bar,39
826,Medical Center,8
443,Deli / Bodega,69
389,Food Truck,1
654,High School,32
188,Neighborhood,7
658,Medical Center,13
658,College Academic Building,15
453,Bookstore,2
941,Medical Center,71
73,School,47
480,Coffee Shop,21
296,Office,52
645,School,25
541,Miscellaneous Shop,61
391,Parking,10
936,Home (private),34
391,Road,20
958,Office,79
571,Bus Station,1
391,Temple,7
686,Coffee Shop,18
834,College Academic Building,62
579,Subway,41
1060,Train Station,73
238,Residential Building (Apartment / Condo),13
1042,Office,66
521,Train Station,19
81,Train Station,33
521,River,79
424,Medical Center,10
354,Building,15
549,Medical Center,51
495,Café,4
480,Medical Center,53
500,Train Station,7
188,Office,36
1005,Coffee Shop,13
354,Historic Site,3
359,College Academic Building,37
742,Miscellaneous Shop,26
742,Subway,114
331,Office,96
81,Deli / Bodega,37
190,Hotel,1
995,Building,77
44,Art Gallery,2
715,Coffee Shop,15
71,Donut Shop,4
573,Building,109
46,Coffee Shop,5
857,Hotel,76
423,Office,26
560,Medical Center,50
438,Coffee Shop,58
7,Gym / Fitness Center,28
560,Office,15
829,Residential Building (Apartment / Condo),3
354,Plaza,43
357,Office,52
56,Laundry Service,3
71,University,16
565,Office,18
742,Neighborhood,72
202,Coffee Shop,55
396,Subway,29
446,Office,38
307,Light Rail,4
208,Coffee Shop,35
473,Train Station,28
203,Food & Drink Shop,64
758,Coffee Shop,2
269,Office,41
521,Office,80
141,Airport,8
396,Coffee Shop,26
365,Mall,60
797,Park,10
396,Office,27
983,Arts & Crafts Store,3
247,College Academic Building,6
458,Rest Area,61
758,High School,2
354,Burger Joint,4
144,College Academic Building,58
702,University,69
739,Bus Station,24
598,Furniture / Home Store,74
499,Office,11
207,Medical Center,53
348,Office,26
207,School,72
527,Home (private),109
611,College Academic Building,41
307,Office,30
397,Community College,21
332,Food & Drink Shop,19
864,Medical Center,1
402,Building,48
448,College & University,9
649,Coffee Shop,26
117,Hotel,35
104,Office,12
215,School,44
349,Home (private),6
136,Sandwich Place,14
649,History Museum,1
57,Office,64
49,Office,83
1051,Office,49
1044,Subway,27
853,Coffee Shop,5
155,Office,51
162,Office,27
235,Office,7
107,Donut Shop,4
989,Office,47
171,Coffee Shop,16
981,Clothing Store,2
453,College Academic Building,50
651,Deli / Bodega,5
696,Office,56
879,School,41
649,Park,11
495,Laundry Service,6
853,Convenience Store,6
1055,Office,20
844,Medical Center,38
1011,Ferry,65
184,Food & Drink Shop,16
440,Office,78
842,Office,87
880,Food & Drink Shop,46
280,Deli / Bodega,82
884,Coffee Shop,7
277,Office,62
758,Medical Center,17
296,General Entertainment,5
493,Train Station,21
1030,Gym / Fitness Center,12
116,Office,37
244,Coffee Shop,39
428,Building,29
880,Residential Building (Apartment / Condo),55
141,Building,31
124,Building,59
46,Gym / Fitness Center,47
171,Recycling Facility,51
424,Other Great Outdoors,1
847,Office,34
865,Subway,15
853,Drugstore / Pharmacy,12
